tiempo,frontal_der,frontal_izq,diagonal_der,diagonal_izq,lateral_der,lateral_izq,trasero_der,trasero_izq,encoder_izq,encoder_der
9.472,70.01,67.67,67.73,67.63,68.16,61.93,65.96,122.43,28.0904,25.4340
9.504,66.56,62.99,62.97,69.01,63.59,71.18,63.08,114.71,28.1846,25.5345
9.536,72.35,66.14,64.57,65.34,62.21,62.21,64.23,123.43,28.2788,25.6287
9.568,67.80,66.30,66.62,67.53,66.91,65.18,61.74,115.61,28.3793,25.7229
9.600,64.88,67.39,72.10,69.70,71.02,63.51,72.88,117.70,28.4735,25.8234
9.632,65.92,67.52,66.75,68.77,61.70,70.15,68.65,111.03,28.5677,25.9176
9.664,68.04,62.43,67.69,62.96,70.11,62.62,67.72,118.86,28.6682,26.0118
9.696,66.84,63.23,67.96,72.74,69.54,71.84,69.59,112.74,28.7624,26.1060
9.728,63.58,69.36,65.62,64.42,63.48,70.86,67.31,109.42,28.8566,26.2064
9.760,63.57,65.02,65.74,64.01,69.99,71.45,67.53,106.81,28.9508,26.3006
9.792,69.17,69.84,69.57,65.94,67.25,65.79,67.80,111.43,29.0513,26.3948
9.824,66.90,64.14,75.02,72.86,66.12,68.22,68.96,104.05,29.1455,26.4953
9.856,77.32,66.76,65.57,68.15,66.40,65.11,64.34,107.15,29.2397,26.5895
9.888,65.52,73.51,70.64,71.55,68.78,71.60,63.65,106.05,29.3339,26.6837
9.920,66.31,65.36,66.25,65.98,66.83,69.28,67.89,98.09,29.4344,26.7779
9.952,65.33,61.46,66.29,65.54,64.14,69.94,65.71,106.78,29.5286,26.8784
9.984,68.39,64.57,65.62,68.37,65.55,62.05,71.96,101.05,29.6228,26.9726
10.016,69.52,63.06,66.47,68.45,69.92,70.39,61.78,99.53,29.7232,27.0668
10.048,68.56,62.04,63.96,69.06,62.61,66.70,68.33,97.31,29.8174,27.1610
10.080,68.46,63.09,61.65,68.21,72.45,65.68,70.78,96.93,29.9116,27.2615
10.112,60.35,65.54,70.15,67.92,63.41,68.31,71.43,90.90,30.0058,27.3557
10.144,72.18,70.27,66.39,70.42,72.14,66.89,65.78,92.10,30.1063,27.4499
10.176,69.09,64.78,76.16,66.79,67.00,69.15,69.40,86.47,30.2005,27.5504
10.208,68.69,68.56,68.79,60.93,67.95,60.02,61.63,84.50,30.2947,27.6446
10.240,66.46,68.25,65.26,67.26,66.38,64.36,69.00,86.30,30.3952,27.7388
10.272,69.42,64.86,62.52,66.06,68.34,68.59,69.02,83.05,30.4894,27.8330
10.304,67.55,69.33,63.03,67.87,71.68,67.90,69.29,76.57,30.5836,27.9334
10.336,65.35,60.26,68.44,67.13,62.20,69.16,63.61,76.64,30.6778,28.0276
10.368,67.82,65.55,69.43,66.60,68.67,70.12,66.30,74.60,30.7783,28.1218
10.400,69.85,68.59,67.19,67.40,61.69,62.14,67.99,77.50,30.8725,28.2160
10.432,68.43,67.31,65.94,69.27,71.38,67.82,68.94,67.56,30.9667,28.3165
10.464,69.96,63.42,60.55,66.47,63.83,64.99,63.33,68.63,31.0609,28.4107
10.496,63.28,64.88,66.27,71.24,71.92,62.75,67.10,70.90,31.1614,28.5049
10.528,66.20,63.56,64.95,64.95,65.99,66.39,68.34,71.10,31.2556,28.6054
10.560,62.85,69.33,65.64,70.54,65.29,63.11,65.86,64.33,31.3498,28.6996
10.592,63.32,62.12,68.41,64.36,67.07,66.80,64.59,67.41,31.4502,28.7938
10.624,72.53,67.19,67.98,64.24,69.38,65.91,65.24,65.58,31.5444,28.8880
10.656,66.98,63.61,62.20,67.07,68.12,68.63,75.48,65.25,31.6386,28.9885
10.688,66.78,66.47,58.41,66.44,71.70,72.06,64.35,66.21,31.7328,29.0827
10.720,69.78,66.41,69.40,69.94,69.07,65.77,63.82,66.95,31.8333,29.1769
10.752,67.49,70.80,72.91,63.37,67.91,63.81,69.45,62.74,31.9275,29.2711
10.784,65.02,70.25,66.68,69.23,68.26,66.94,60.99,63.04,32.0217,29.3716
10.816,66.65,67.89,69.03,68.66,60.51,64.63,68.82,67.00,32.1159,29.4658
10.848,66.20,71.66,65.78,68.40,66.41,67.92,63.06,67.32,32.2164,29.5600
10.880,65.66,63.60,66.49,67.01,69.38,67.63,66.72,63.46,32.3106,29.6604
10.912,63.04,70.68,67.20,66.12,63.85,69.10,67.77,68.76,32.4048,29.7546
10.944,69.95,67.99,67.00,64.83,68.10,61.65,62.86,65.31,32.5053,29.8488
10.976,68.64,67.71,70.94,64.18,72.47,72.92,68.94,69.86,32.5995,29.9430
11.008,62.46,68.14,61.88,68.72,68.28,68.21,70.68,64.20,32.6937,30.0435
11.040,67.59,69.98,61.72,67.15,71.42,65.18,64.72,65.51,32.7879,30.1377
11.072,59.91,68.94,68.62,67.00,67.69,72.39,66.55,64.94,32.8884,30.2319
11.104,67.89,64.47,62.36,67.99,68.17,62.64,68.44,66.90,32.9826,30.3324
11.136,66.39,68.27,63.46,69.15,70.23,68.40,61.27,72.11,33.0768,30.4266
11.168,65.39,62.73,67.31,66.95,67.76,66.14,74.00,67.38,33.1710,30.5208
11.200,62.64,73.44,66.37,65.88,68.59,62.50,65.11,73.54,33.2714,30.6150
11.232,70.29,68.12,65.20,65.84,62.45,63.70,64.29,69.57,33.3656,30.7155
11.264,69.83,63.20,73.63,67.88,71.88,64.28,68.58,69.70,33.4598,30.8097
11.296,65.40,69.49,66.96,62.82,67.17,68.71,66.46,67.90,33.5603,30.9039
11.328,66.93,69.00,67.46,66.57,69.26,72.38,67.89,73.37,33.6545,30.9981
11.360,69.63,68.22,68.22,68.24,71.58,70.32,65.36,72.01,33.7487,31.0986
11.392,64.77,70.03,62.87,68.08,67.18,64.99,70.04,70.09,33.8429,31.1928
11.424,71.64,67.74,68.40,69.08,68.88,71.10,67.15,63.84,33.9434,31.2870
11.456,63.90,65.79,72.07,63.94,61.97,70.26,70.36,69.61,34.0376,31.3874
11.488,68.82,63.44,73.63,63.43,70.19,67.01,65.39,64.97,34.1318,31.4816
11.520,69.27,68.10,68.14,64.36,68.97,69.28,62.88,71.81,34.2323,31.5758
11.552,72.58,70.65,66.36,65.32,68.24,68.53,68.88,66.86,34.3265,31.6700
11.584,71.74,73.26,67.79,70.56,61.97,65.93,66.17,64.53,34.4207,31.7705
11.616,69.56,71.54,68.08,65.42,65.02,70.22,67.49,70.52,34.5149,31.8647
11.648,75.03,69.56,64.22,67.57,66.73,63.85,70.51,63.96,34.6154,31.9589
11.680,65.24,64.89,65.63,69.70,73.86,69.16,70.72,69.01,34.7096,32.0531
11.712,67.62,72.72,59.24,71.51,65.03,68.83,68.85,67.91,34.8038,32.1536
11.744,63.94,64.56,60.54,73.72,66.87,68.24,62.55,65.16,34.8980,32.2478
11.776,64.51,67.10,68.90,61.15,69.68,63.99,64.02,67.69,34.9984,32.3420
11.808,70.95,67.08,67.36,66.09,64.16,66.92,66.20,69.54,35.0926,32.4425
11.840,71.05,66.79,65.82,68.09,69.69,68.86,64.63,65.28,35.1868,32.5367
11.872,63.84,68.07,63.84,64.54,67.88,66.52,65.78,67.27,35.2873,32.6309
11.904,65.23,63.56,64.22,64.36,67.06,67.73,71.84,69.70,35.3815,32.7251
11.936,66.13,65.50,67.49,69.34,75.38,64.16,70.23,64.55,35.4757,32.8256
11.968,67.76,69.92,71.46,65.54,67.27,66.29,70.11,70.69,35.5699,32.9198
12.000,66.15,60.78,65.27,67.18,71.19,57.45,70.23,58.64,35.6704,33.0140
12.032,64.00,61.76,70.28,64.42,71.26,62.76,71.11,67.95,35.7646,33.1082
12.064,64.59,67.24,70.12,62.29,66.39,69.02,67.13,64.98,35.8588,33.2086
12.096,71.65,63.18,66.89,71.36,71.36,66.04,68.58,68.09,35.9530,33.3028
12.128,65.44,64.41,67.55,73.64,68.21,59.32,69.10,68.21,36.0535,33.3970
12.160,63.48,63.52,71.71,62.91,63.53,75.05,63.18,68.77,36.1477,33.4975
12.192,66.70,67.43,62.43,62.91,71.41,65.57,61.85,66.32,36.2419,33.5917
12.224,67.50,68.26,64.51,63.11,62.89,68.58,72.27,67.86,36.3424,33.6859
12.256,65.04,59.04,66.38,64.26,66.56,66.31,65.57,75.04,36.4366,33.7801
12.288,71.11,66.56,67.71,66.26,71.30,71.60,60.41,66.59,36.5308,33.8806
12.320,67.61,71.29,67.50,69.50,64.65,63.10,62.31,70.14,36.6250,33.9748
12.352,67.73,77.20,61.55,69.27,57.26,67.70,64.27,66.19,36.7254,34.0690
12.384,70.10,62.86,72.94,69.06,66.66,69.91,69.46,65.55,36.8196,34.1695
12.416,76.01,63.67,65.04,71.07,66.24,72.63,68.42,69.29,36.9138,34.2637
12.448,65.02,68.55,68.44,70.08,64.02,66.85,71.22,65.22,37.0080,34.3579
12.480,61.99,68.17,62.51,70.52,71.21,65.13,72.22,59.06,37.1085,34.4521
12.512,72.13,65.86,65.44,73.18,66.16,67.47,69.20,63.96,37.2027,34.5526
12.544,69.02,68.70,68.19,66.28,71.75,67.45,63.08,68.78,37.2969,34.6468
12.576,65.07,60.67,66.76,70.44,68.64,68.52,66.50,62.03,37.3974,34.7410
12.608,65.21,62.91,67.22,69.61,62.66,65.45,65.64,67.63,37.4916,34.8352
12.640,70.32,69.63,65.28,68.24,63.73,73.78,67.33,77.10,37.5858,34.9356
12.672,65.31,65.77,63.68,67.45,71.17,66.91,63.58,62.32,37.6800,35.0298
12.704,70.18,66.35,59.59,74.90,64.42,62.54,67.92,65.62,37.7805,35.1240
12.736,66.52,69.56,69.59,69.61,68.65,63.81,70.58,64.46,37.8747,35.2245
12.768,71.32,67.91,71.78,66.48,57.13,70.26,68.05,65.04,37.9689,35.3187
12.800,66.57,64.46,73.49,69.17,63.52,71.39,64.39,62.87,38.0694,35.4129
12.832,63.06,66.84,68.62,64.74,64.63,70.86,66.61,62.26,38.1636,35.5071
12.864,66.79,68.19,66.46,64.20,66.31,63.58,71.55,68.05,38.2578,35.6076
12.896,62.83,59.82,66.93,64.68,72.27,68.78,71.35,70.20,38.3520,35.7018
12.928,69.07,66.45,69.49,70.45,72.43,65.43,64.40,69.39,38.4524,35.7960
12.960,69.72,67.05,67.83,66.28,69.04,63.42,62.38,67.35,38.5466,35.8902
12.992,63.67,67.40,66.43,66.82,62.31,71.34,68.97,67.56,38.6408,35.9907
13.024,64.45,68.86,62.47,67.32,70.10,64.23,65.46,67.95,38.7350,36.0849
13.056,68.15,67.62,64.59,71.34,65.41,67.59,68.92,69.70,38.8355,36.1791
13.088,61.54,65.28,66.50,68.24,67.64,71.62,67.94,66.74,38.9297,36.2796
13.120,64.02,73.90,61.13,67.98,68.40,62.61,67.70,71.22,39.0239,36.3738
13.152,58.47,73.33,67.50,66.88,68.77,61.39,69.31,64.75,39.1244,36.4680
13.184,70.71,69.09,65.22,69.07,64.25,67.78,70.70,71.92,39.2186,36.5622
13.216,65.99,69.22,71.02,63.92,65.55,64.30,68.00,69.66,39.3128,36.6626
13.248,62.52,59.37,69.45,69.38,69.75,72.98,61.20,62.79,39.4070,36.7568
13.280,69.82,69.60,65.52,66.72,73.34,70.68,65.40,66.79,39.5075,36.8510
13.312,66.50,70.75,66.19,64.79,71.65,66.68,65.76,71.32,39.6017,36.9452
13.344,71.78,66.02,72.63,67.24,68.63,67.34,66.87,68.08,39.6959,37.0457
13.376,72.45,61.05,66.23,64.05,62.39,69.77,70.80,64.61,39.7901,37.1399
13.408,67.13,66.48,64.89,65.23,64.72,74.17,70.48,61.52,39.8906,37.2341
13.440,68.15,66.35,64.36,69.31,67.29,71.13,65.35,62.86,39.9848,37.3346
13.472,66.49,67.23,70.78,67.52,68.05,60.88,66.04,64.46,40.0790,37.4288
13.504,65.91,62.10,67.69,67.98,68.55,69.05,65.84,63.77,40.1794,37.5230
13.536,60.10,65.44,72.58,64.03,64.77,66.56,67.61,62.37,40.2736,37.6172
13.568,66.12,74.15,67.74,67.16,69.04,67.63,73.14,60.96,40.3678,37.7177
13.600,71.27,80.92,71.68,65.13,72.40,70.52,72.03,64.96,40.4620,37.8119
13.632,72.09,100.32,59.85,67.21,70.69,69.71,65.71,63.84,40.5625,37.9061
13.664,65.21,103.76,64.89,64.59,66.17,67.14,68.93,67.08,40.6567,38.0066
13.696,78.90,107.55,69.90,67.55,68.44,69.05,67.72,63.89,40.7509,38.1008
13.728,92.20,119.82,69.53,67.56,67.71,66.68,68.02,68.87,40.8451,38.1950
13.760,101.88,127.84,64.88,65.92,62.62,68.32,67.69,68.55,40.9456,38.2892
13.792,117.63,137.99,66.68,68.20,66.14,66.07,62.99,70.19,41.0398,38.3896
13.824,117.25,151.95,62.08,66.69,63.75,67.26,63.46,67.30,41.1340,38.4838
13.856,123.55,164.48,66.51,70.32,72.33,66.07,68.49,66.46,41.2345,38.5780
13.888,127.47,180.76,63.70,67.06,65.72,67.54,62.91,64.57,41.3287,38.6722
13.920,135.66,206.23,70.81,64.53,69.73,63.03,66.96,69.30,41.4229,38.7727
13.952,173.88,245.48,65.95,64.50,63.70,68.78,64.02,66.62,41.5171,38.8669
13.984,202.74,280.41,59.63,63.17,64.21,61.44,66.94,67.87,41.6176,38.9611
14.016,235.32,328.79,66.75,63.94,71.21,64.74,69.65,67.43,41.7118,39.0616
14.048,279.39,388.93,67.22,63.48,72.47,67.29,68.23,67.44,41.8060,39.1558
14.080,329.91,564.50,78.84,63.70,64.43,69.84,67.22,66.04,41.9002,39.2500
14.112,399.25,668.18,109.96,66.54,66.44,66.85,70.25,77.53,41.8562,39.3316
14.144,437.62,539.37,119.01,63.62,68.65,61.77,73.35,70.10,41.8060,39.4133
14.176,461.06,491.11,136.98,69.31,68.08,66.81,65.81,67.36,41.7620,39.4886
14.208,487.00,443.73,148.36,66.72,74.97,67.22,60.51,65.29,41.7118,39.5703
14.240,553.50,424.52,184.16,63.69,63.47,67.14,69.35,65.52,41.6615,39.6519
14.272,834.00,63.63,236.52,64.99,69.48,62.53,66.37,66.53,41.6176,39.7273
14.304,1124.32,67.06,293.46,65.55,69.66,66.51,66.11,66.50,41.5673,39.8089
14.336,1285.81,61.15,334.34,69.52,59.76,66.58,66.07,62.60,41.5171,39.8906
14.368,1358.55,67.14,379.90,69.36,67.15,62.55,69.90,65.33,41.4731,39.9722
14.400,1421.07,69.88,494.33,66.00,66.59,64.16,65.26,63.26,41.4229,40.0476
14.432,1498.41,67.69,594.34,66.96,64.52,60.17,69.59,69.69,41.3726,40.1292
14.464,1535.00,66.79,877.91,65.38,69.35,66.86,70.85,71.57,41.3287,40.2108
14.496,1566.85,65.56,1225.52,71.81,60.64,67.11,63.07,65.54,41.2784,40.2925
14.528,1501.95,70.02,1417.53,71.08,68.81,70.35,66.88,68.26,41.2345,40.3678
14.560,1420.77,64.58,1568.48,66.67,66.80,62.22,66.64,71.32,41.1842,40.4495
14.592,1261.31,70.24,1668.41,66.11,90.54,65.40,64.38,71.14,41.1340,40.5311
14.624,1158.46,64.58,1794.61,68.06,106.69,68.78,69.38,64.88,41.0900,40.6065
14.656,947.93,61.86,1877.12,64.71,125.79,65.88,69.01,69.81,41.0398,40.6881
14.688,66.46,60.51,1958.71,66.01,167.75,66.75,66.73,69.52,40.9142,40.8200
14.720,68.90,66.29,1985.25,67.56,225.40,67.40,63.13,64.53,40.7823,40.9456
14.752,63.76,64.50,1934.52,67.40,300.62,71.82,67.63,66.93,40.6567,41.0712
14.784,75.73,67.86,1804.40,71.73,382.49,64.09,62.69,65.84,40.5311,41.2031
14.816,62.64,67.67,1676.59,64.22,477.38,69.99,61.40,65.43,40.4809,41.2784
14.848,70.45,61.88,1578.77,63.90,545.98,68.97,64.48,72.36,40.4306,41.3601
14.880,66.58,73.27,1465.75,65.67,646.11,72.83,69.54,72.32,40.3867,41.4417
14.912,67.47,63.55,70.72,67.42,777.21,71.83,65.58,64.23,40.3364,41.5171
14.944,67.30,70.48,72.00,70.97,829.48,69.78,62.54,71.44,40.4306,41.6176
14.976,64.39,66.16,63.14,67.61,816.70,70.54,63.77,72.06,40.5311,41.7118
15.008,67.11,64.26,60.46,64.99,760.23,61.97,66.15,67.26,40.6253,41.8060
15.040,63.48,66.14,67.68,63.69,784.70,71.05,72.22,71.17,40.7195,41.9064
15.072,72.17,64.32,69.39,64.67,787.96,63.97,67.30,64.97,40.8137,42.0006
15.104,64.79,64.46,63.68,67.60,800.25,70.13,63.59,68.47,40.9142,42.0948
15.136,68.35,62.68,70.33,69.78,778.22,66.89,67.43,67.77,41.0084,42.1890
15.168,66.90,70.37,65.01,64.08,829.94,69.05,65.37,72.50,41.1026,42.2895
15.200,68.56,74.97,66.33,66.43,823.34,65.93,66.18,66.54,41.2031,42.3837
15.232,71.02,64.03,63.45,65.43,836.67,72.59,69.53,68.03,41.2973,42.4779
15.264,63.34,73.90,65.48,72.44,864.83,69.75,62.87,67.74,41.3915,42.5784
15.296,69.59,65.16,68.71,63.72,940.97,66.79,75.02,71.24,41.4857,42.6726
15.328,63.88,71.30,64.62,63.60,1133.01,65.53,68.17,59.62,41.5548,42.7668
15.360,70.07,68.49,68.22,74.25,1289.88,70.02,65.21,67.57,41.6176,42.8610
15.392,68.83,62.86,64.96,67.32,971.72,65.33,66.20,68.26,41.6804,42.9615
15.424,73.81,66.90,69.72,66.12,316.01,70.05,70.85,66.07,41.7432,43.0557
15.456,67.75,69.25,60.60,72.49,201.98,66.93,71.46,72.07,41.8374,43.1499
15.488,64.97,67.99,63.32,66.06,137.63,63.28,67.33,66.56,41.9378,43.2441
15.520,72.53,64.82,68.44,63.59,112.93,67.21,71.35,63.95,42.0320,43.3446
15.552,67.84,63.39,63.88,66.71,88.88,65.63,65.81,64.31,42.1262,43.4388
15.584,63.76,66.77,64.64,72.22,68.45,62.74,69.54,65.18,42.2204,43.5330
15.616,68.52,63.72,65.89,67.90,71.96,67.53,64.87,70.58,42.3209,43.6334
15.648,67.81,68.09,70.34,73.50,67.06,68.00,63.99,66.79,42.4151,43.7276
15.680,66.29,62.91,68.44,72.45,67.04,73.90,65.60,65.59,42.5093,43.8218
15.712,66.32,63.61,64.14,68.68,65.20,70.38,68.77,68.29,42.6098,43.9160
15.744,62.04,63.17,66.88,67.77,64.19,67.41,69.05,66.38,42.7040,44.0165
15.776,66.95,64.39,70.34,69.41,75.24,63.48,65.77,62.83,42.7982,44.1107
15.808,69.89,66.17,68.29,63.66,68.43,66.12,61.22,63.72,42.8924,44.2049
15.840,65.10,63.69,66.33,65.08,67.93,66.15,77.60,69.63,42.9929,44.2991
15.872,66.11,67.33,66.28,64.74,67.34,63.31,66.27,66.56,43.0871,44.3996
15.904,65.92,69.46,70.50,67.63,67.32,62.58,73.26,69.02,43.1813,44.4938
15.936,69.83,69.31,65.80,73.23,66.06,69.19,67.80,66.27,43.2818,44.5880
15.968,69.99,67.19,66.41,62.57,68.73,64.68,67.61,71.52,43.3760,44.6885
16.000,69.25,67.44,65.14,65.58,73.51,74.30,71.59,65.06,43.4702,44.7827
16.032,67.08,68.39,68.60,73.71,70.60,67.57,71.99,66.10,43.5644,44.8769
16.064,64.52,64.38,64.97,67.44,72.01,66.70,69.27,72.88,43.6648,44.9711
16.096,62.07,69.36,68.53,67.97,72.20,65.71,67.03,66.88,43.7590,45.0716
16.128,67.86,69.90,59.63,65.50,70.34,65.93,71.25,68.00,43.8532,45.1658
16.160,67.31,69.61,70.21,62.94,66.58,62.06,65.63,66.31,43.9474,45.2600
16.192,62.80,67.32,61.37,68.36,63.15,68.78,65.48,63.03,44.0479,45.3542
16.224,66.69,61.50,67.47,67.15,60.24,65.81,66.44,69.46,44.1421,45.4546
16.256,64.23,70.08,63.92,73.07,68.28,66.11,62.95,68.88,44.2363,45.5488
16.288,71.15,69.84,74.31,71.45,67.53,72.36,74.89,67.12,44.3368,45.6430
16.320,69.75,60.43,66.39,64.81,66.75,69.06,67.77,66.80,44.4310,45.7435
16.352,62.78,64.06,64.51,68.53,71.75,68.43,65.19,68.18,44.5252,45.8377
16.384,64.29,63.03,65.71,66.09,66.61,70.41,65.14,71.48,44.6194,45.9319
16.416,66.96,62.43,73.46,68.74,66.95,69.89,73.52,67.67,44.7199,46.0261
16.448,72.23,67.04,67.42,66.93,68.19,68.99,63.01,62.60,44.8141,46.1266
16.480,66.68,66.30,73.05,67.92,72.80,65.58,70.64,69.85,44.9083,46.2208
16.512,66.49,62.38,65.62,66.35,67.80,67.72,66.61,64.37,45.0025,46.3150
16.544,66.43,67.95,63.87,68.90,67.42,63.84,68.32,64.82,45.1030,46.4155
16.576,63.86,69.09,68.38,69.83,67.49,70.48,66.97,69.99,45.1972,46.5097
16.608,66.61,64.55,69.67,66.09,66.58,68.39,61.20,67.91,45.2914,46.6039
16.640,62.14,61.63,74.25,69.58,65.96,70.31,65.69,66.20,45.3918,46.6981
16.672,64.44,67.98,68.24,65.17,66.70,70.90,70.18,63.38,45.4860,46.7986
16.704,67.14,63.02,65.99,63.79,71.76,72.49,67.68,67.09,45.5802,46.8928
16.736,66.30,61.82,66.78,71.47,68.07,63.63,62.21,67.20,45.6744,46.9870
16.768,71.82,64.81,63.52,68.42,65.30,66.26,72.95,70.33,45.7749,47.0812
16.800,60.07,69.90,64.98,66.51,65.76,69.39,66.52,66.09,45.8691,47.1816
16.832,75.09,68.96,69.89,67.51,63.61,68.50,65.46,62.54,45.9633,47.2758
16.864,71.43,68.19,65.13,71.25,67.33,62.76,65.71,60.58,46.0575,47.3700
16.896,70.99,67.81,67.42,67.86,60.40,68.68,76.71,67.69,46.1580,47.4705
16.928,68.14,64.91,71.23,70.32,68.16,65.25,64.41,68.36,46.2522,47.5647
16.960,76.52,66.85,69.63,68.80,65.84,67.74,68.09,60.00,46.3464,47.6589
16.992,69.78,69.71,64.09,65.87,66.76,60.51,61.73,62.84,46.4469,47.7531
17.024,65.59,68.76,71.00,67.73,64.17,70.88,68.53,64.49,46.5411,47.8536
17.056,70.08,67.79,65.03,69.59,70.60,62.98,69.27,73.27,46.6353,47.9478
17.088,70.68,68.14,61.07,68.80,69.55,104.34,66.69,70.57,46.7295,48.0420
17.120,68.61,68.80,59.10,71.08,69.29,117.00,66.91,64.65,46.8300,48.1362
17.152,71.81,66.71,63.80,68.91,64.03,147.71,66.12,65.02,46.9242,48.2367
17.184,65.18,71.96,70.79,73.54,68.47,149.85,64.10,63.52,47.0184,48.3309
17.216,62.47,64.30,67.35,64.43,65.15,146.31,67.87,69.94,47.1188,48.4251
17.248,65.24,64.88,64.63,61.78,71.62,152.35,68.53,64.24,47.2130,48.5256
17.280,69.28,58.65,62.97,70.27,67.97,141.36,66.79,65.36,47.3072,48.6198
17.312,68.70,65.67,69.63,65.84,67.08,137.63,72.25,58.27,47.4014,48.7140
17.344,72.20,65.46,66.82,60.14,63.89,133.84,65.89,61.09,47.5019,48.8082
17.376,70.81,66.86,64.92,65.14,63.75,125.87,70.31,68.60,47.5961,48.9086
17.408,62.16,68.23,72.02,67.38,68.22,123.35,65.27,64.95,47.6903,49.0028
17.440,62.57,66.53,63.29,68.83,71.44,129.56,72.70,70.99,47.7845,49.0970
17.472,72.96,70.86,65.30,66.89,67.14,122.98,66.70,67.89,47.8850,49.1912
17.504,66.14,67.60,64.98,64.02,68.06,113.66,69.75,70.58,47.9792,49.2917
17.536,68.25,64.56,73.47,72.57,71.63,117.97,70.18,65.34,48.0734,49.3859
17.568,72.73,70.35,72.47,67.89,66.24,115.34,65.88,72.72,48.1739,49.4801
17.600,60.19,70.86,70.22,69.42,63.64,110.17,69.67,73.78,48.2681,49.5806
17.632,69.00,70.00,62.25,61.42,71.46,113.30,66.16,66.26,48.3623,49.6748
17.664,67.25,66.67,69.14,67.64,69.89,114.78,71.24,66.06,48.4565,49.7690
17.696,65.01,70.79,65.62,64.23,61.29,111.87,65.69,62.54,48.5570,49.8632
17.728,65.38,63.02,71.60,67.34,67.89,107.23,68.68,66.48,48.6512,49.9637
17.760,66.18,66.50,70.12,65.97,67.21,103.85,68.86,69.17,48.7454,50.0579
17.792,60.01,66.74,69.47,66.37,73.41,102.72,69.26,72.39,48.8396,50.1521
17.824,67.37,66.04,67.13,66.60,65.21,93.97,69.14,71.30,48.9400,50.2463
17.856,66.19,71.40,69.71,64.70,64.18,99.01,66.57,67.29,49.0342,50.3468
17.888,65.19,67.46,66.92,69.05,71.16,92.54,69.70,68.43,49.1284,50.4410
17.920,70.99,62.71,66.23,66.19,63.82,91.26,69.50,72.17,49.2289,50.5352
17.952,61.94,64.76,74.72,66.34,65.47,86.51,70.00,67.48,49.3231,50.6356
17.984,61.63,65.76,69.26,67.87,62.46,90.83,69.79,75.39,49.4173,50.7298
18.016,67.43,67.81,66.11,65.69,67.60,83.62,64.97,69.60,49.5115,50.8240
18.048,67.21,70.71,68.96,63.71,68.42,81.33,57.88,71.93,49.6120,50.9182
18.080,67.23,70.10,65.40,70.81,70.92,81.40,63.59,65.82,49.7062,51.0187
18.112,65.72,66.36,67.27,73.21,64.90,70.57,65.69,68.39,49.8004,51.1129
18.144,60.90,69.69,62.40,63.93,65.75,67.84,70.22,66.85,49.8946,51.2071
18.176,68.66,67.77,68.34,68.91,62.34,68.33,63.76,63.50,49.9951,51.3076
18.208,66.19,63.83,64.51,69.39,64.59,67.65,65.56,67.93,50.0893,51.4018
18.240,64.96,65.96,67.54,69.59,64.85,66.82,69.57,65.48,50.1835,51.4960
18.272,66.82,72.98,71.93,64.56,65.17,66.89,66.15,68.89,50.2840,51.5902
18.304,70.24,71.93,64.94,71.02,71.44,63.51,67.15,64.09,50.3782,51.6907
18.336,69.80,67.20,67.60,65.60,66.14,72.09,67.90,74.57,50.4724,51.7849
18.368,66.19,69.30,67.70,70.05,70.52,70.28,69.57,67.53,50.5666,51.8791
18.400,69.57,67.27,64.32,61.72,65.82,68.24,65.82,69.04,50.6670,51.9733
18.432,71.04,68.06,68.08,64.37,64.71,69.19,66.12,63.83,50.7612,52.0738
18.464,66.71,62.86,65.72,68.31,64.74,70.46,71.95,63.08,50.8554,52.1680
18.496,66.05,59.56,67.82,63.71,67.14,63.41,64.38,67.29,50.9496,52.2622
18.528,64.78,65.46,68.94,66.83,62.35,66.15,62.89,69.18,51.0501,52.3626
18.560,70.16,70.15,70.42,71.85,66.23,70.62,67.71,63.39,51.1443,52.4568
18.592,64.84,68.06,75.25,66.28,69.52,65.15,68.97,65.22,51.2385,52.5510
18.624,64.47,69.13,63.47,70.19,68.00,67.24,66.70,64.25,51.3390,52.6452
18.656,63.85,66.10,64.87,67.15,69.46,66.22,64.79,68.27,51.4332,52.7457
18.688,65.84,71.29,67.53,71.11,68.89,71.26,67.61,67.04,51.5274,52.8399
18.720,71.40,71.09,68.40,66.93,66.96,64.30,61.64,69.01,51.6216,52.9341
18.752,66.10,69.41,69.43,64.31,61.28,65.79,70.26,59.62,51.7221,53.0283
18.784,67.29,70.50,67.42,65.47,65.06,67.75,65.62,63.78,51.8163,53.1288
18.816,73.82,71.41,74.36,71.28,72.08,67.81,63.32,63.41,51.9105,53.2230
18.848,69.22,62.89,62.72,67.63,66.62,68.45,70.17,66.43,52.0110,53.3172
18.880,60.92,68.83,61.23,66.25,74.18,62.55,66.45,64.88,52.1052,53.4177
18.912,70.89,63.18,66.15,65.27,65.84,65.91,66.84,64.63,52.1994,53.5119
18.944,66.68,64.44,64.02,71.35,64.02,65.18,66.11,62.20,52.2936,53.6061
18.976,71.27,66.46,69.74,69.30,70.20,68.78,63.95,65.97,52.3940,53.7003
19.008,63.70,62.80,64.23,64.43,63.65,65.53,64.08,67.52,52.4882,53.8008
19.040,59.73,65.66,68.03,73.32,69.80,65.21,67.01,66.90,52.5824,53.8950
19.072,61.88,69.05,62.63,71.58,69.01,68.62,75.63,65.61,52.6766,53.9892
19.104,63.45,68.89,65.82,67.75,62.25,67.07,66.38,64.27,52.7771,54.0834
