tiempo,frontal_der,frontal_izq,diagonal_der,diagonal_izq,lateral_der,lateral_izq,trasero_der,trasero_izq,encoder_izq,encoder_der
2.208,66.72,70.03,70.44,70.63,71.96,203.87,68.50,65.13,6.5061,6.3805
2.240,63.35,74.72,67.99,63.58,62.42,216.17,69.60,61.30,6.6003,6.4747
2.272,60.36,69.10,68.28,66.47,65.43,240.29,66.09,68.73,6.7008,6.5689
2.304,68.36,71.53,66.31,58.09,72.62,270.36,67.48,65.69,6.7950,6.6694
2.336,68.73,62.58,73.35,61.84,71.50,296.93,67.11,62.85,6.8892,6.7636
2.368,68.56,71.31,58.56,64.59,65.86,324.97,64.54,73.11,6.9896,6.8578
2.400,65.26,68.44,65.91,72.64,63.23,357.23,67.35,71.25,7.0838,6.9520
2.432,64.81,64.71,70.98,61.22,64.49,398.42,68.20,68.09,7.1780,7.0524
2.464,69.04,65.31,64.44,66.78,63.05,486.99,66.69,68.33,7.2722,7.1466
2.496,67.77,66.16,64.19,67.62,69.21,557.99,67.16,65.76,7.3727,7.2408
2.528,65.48,70.79,67.13,66.42,64.42,908.04,64.74,66.09,7.4669,7.3413
2.560,70.60,65.60,71.69,62.53,66.89,1339.38,69.15,67.10,7.5611,7.4041
2.592,64.23,71.12,60.94,68.95,67.53,1623.02,64.87,64.02,7.6553,7.4669
2.624,59.83,69.14,65.22,66.07,68.66,1828.24,65.67,66.47,7.7558,7.5297
2.656,65.78,71.93,67.63,68.68,71.74,1435.47,66.50,68.81,7.8500,7.5925
2.688,69.29,70.30,67.83,66.12,61.11,949.77,70.53,61.79,7.9442,7.6553
2.720,67.94,69.75,63.87,66.38,63.90,534.72,60.21,67.63,8.0447,7.7244
2.752,62.88,70.98,63.76,63.29,64.45,410.67,68.48,72.43,8.1389,7.8186
2.784,63.31,66.83,62.74,66.37,66.38,353.04,64.81,66.05,8.2331,7.9128
2.816,70.49,69.85,66.67,70.10,68.67,303.79,70.69,68.33,8.3273,8.0070
2.848,65.58,68.94,65.83,69.96,67.23,251.21,66.85,67.55,8.4278,8.1075
2.880,61.35,70.25,72.74,59.60,64.66,233.17,67.94,66.89,8.5220,8.2017
2.912,68.01,75.59,68.51,66.10,71.45,202.23,66.48,61.05,8.6162,8.2959
2.944,69.60,68.46,65.32,67.47,62.04,175.97,69.96,69.92,8.7104,8.3964
2.976,64.79,68.13,74.41,61.61,78.15,162.61,67.96,67.95,8.8108,8.4906
3.008,63.61,64.99,65.78,58.25,69.44,147.89,63.95,71.89,8.9050,8.5848
3.040,68.33,66.87,62.00,70.20,65.22,125.82,73.33,65.66,8.9992,8.6790
3.072,69.04,68.13,66.00,63.10,70.23,135.65,67.74,63.11,9.0997,8.7794
3.104,67.25,65.31,64.55,71.57,62.56,127.29,66.86,70.30,9.1939,8.8736
3.136,68.62,65.44,62.29,64.98,68.14,109.42,63.07,64.63,9.2881,8.9678
3.168,70.94,69.46,68.48,69.55,67.52,111.84,67.15,64.19,9.3823,9.0620
3.200,66.78,67.79,64.43,72.66,71.90,104.91,67.02,67.95,9.4828,9.1625
3.232,68.28,65.08,63.82,66.98,71.60,88.63,58.75,70.31,9.5770,9.2567
3.264,73.94,64.60,72.71,66.71,71.59,77.26,72.09,70.50,9.6712,9.3509
3.296,72.18,61.26,65.43,62.98,67.25,78.59,69.33,67.66,9.7654,9.4514
3.328,63.41,71.70,66.35,62.59,67.81,63.91,65.44,72.38,9.8659,9.5456
3.360,66.28,61.19,72.79,59.81,70.02,69.64,65.41,64.67,9.9601,9.6398
3.392,72.57,68.91,68.40,60.54,69.26,66.10,69.45,65.42,10.0543,9.7340
3.424,63.69,68.48,67.14,67.45,71.33,64.51,64.50,64.69,10.1548,9.8345
3.456,71.26,66.57,70.86,67.19,67.22,65.42,65.47,66.77,10.2490,9.9287
3.488,65.74,63.59,63.57,63.72,67.48,67.65,69.81,66.35,10.3432,10.0229
3.520,59.12,68.60,67.32,61.23,68.76,63.28,73.77,70.60,10.4374,10.1234
3.552,64.19,64.44,70.59,64.88,63.67,63.25,66.23,68.61,10.5378,10.2176
3.584,74.04,63.24,65.72,65.69,66.56,60.83,67.44,67.89,10.6320,10.3118
3.616,68.05,62.15,70.28,63.89,64.10,67.82,69.70,64.62,10.7262,10.4060
3.648,67.19,66.52,65.64,61.76,66.78,65.20,66.78,73.46,10.8204,10.5064
3.680,68.30,64.78,68.67,64.26,67.24,66.26,66.92,69.20,10.9209,10.6006
3.712,63.34,65.18,64.78,65.01,68.76,70.85,67.90,65.95,11.0151,10.6948
3.744,67.06,72.90,66.26,70.62,68.53,65.11,69.04,60.97,11.1093,10.7890
3.776,66.96,65.87,73.14,64.76,65.22,64.09,66.87,115.12,11.2098,10.8895
3.808,68.89,70.62,69.04,73.07,69.37,64.83,65.05,106.66,11.3040,10.9837
3.840,70.02,68.02,71.71,72.80,67.20,69.83,67.94,101.69,11.3982,11.0779
3.872,65.13,67.11,68.74,64.28,64.95,63.09,70.39,108.18,11.4924,11.1784
3.904,62.22,67.79,67.92,70.04,67.19,67.48,70.00,95.77,11.5929,11.2726
3.936,68.57,66.52,65.31,67.67,69.72,68.79,57.35,84.35,11.6871,11.3668
3.968,62.74,62.79,67.96,69.24,66.29,66.86,64.42,80.26,11.7813,11.4610
4.000,68.65,70.40,65.65,72.52,69.81,68.15,63.78,84.32,11.8818,11.5615
4.032,63.61,60.42,73.87,58.38,61.44,62.07,66.01,69.94,11.9760,11.6557
4.064,67.29,70.22,61.85,65.14,66.08,68.75,62.43,69.61,12.0702,11.7499
4.096,69.15,63.51,69.41,67.83,72.76,70.16,66.11,62.51,12.1644,11.8441
4.128,70.16,63.14,67.71,63.86,67.79,67.78,67.81,63.36,12.2648,11.9446
4.160,64.34,67.24,74.68,67.43,69.19,64.93,68.46,64.30,12.3590,12.0388
4.192,69.94,64.65,71.05,66.16,64.15,72.71,65.86,66.65,12.4532,12.1330
4.224,64.35,67.38,68.85,71.64,66.82,69.03,68.05,72.40,12.5474,12.2334
4.256,68.56,65.29,67.49,68.88,69.75,67.74,66.58,69.07,12.6479,12.3276
4.288,60.98,63.83,67.40,70.72,72.83,56.24,66.56,64.17,12.7421,12.4218
4.320,67.24,69.66,68.14,60.39,63.76,62.34,61.33,65.26,12.8363,12.5160
4.352,71.49,65.51,71.20,63.76,66.12,62.18,71.11,64.07,12.9368,12.6165
4.384,66.85,64.39,67.25,67.18,69.07,70.91,64.03,70.26,13.0310,12.7107
4.416,67.86,59.25,66.32,66.33,63.28,61.91,63.29,63.72,13.1252,12.8049
4.448,65.25,74.65,64.69,65.83,64.77,71.99,66.06,65.38,13.2194,12.8991
4.480,68.59,68.63,63.19,62.65,69.15,66.25,68.76,69.64,13.3199,12.9996
4.512,69.46,69.06,72.35,68.34,65.39,68.17,68.36,69.38,13.4141,13.0938
4.544,72.87,67.73,67.58,69.96,60.99,65.47,65.99,66.82,13.5083,13.1880
4.576,74.48,65.41,64.11,67.79,69.48,61.33,66.91,67.40,13.6025,13.2885
4.608,62.00,64.14,66.04,69.94,65.60,65.95,72.75,69.51,13.7030,13.3827
4.640,66.52,69.66,67.34,68.10,66.80,70.99,64.89,64.08,13.7972,13.4769
4.672,65.91,65.70,67.34,65.07,68.87,70.25,66.35,68.48,13.8914,13.5711
4.704,70.65,64.48,63.59,76.35,68.86,68.33,68.89,72.01,13.9918,13.6716
4.736,72.82,64.79,72.27,73.59,70.65,66.37,62.16,73.23,14.0860,13.7658
4.768,63.25,70.34,61.11,66.90,73.82,64.87,68.37,67.14,14.1802,13.8600
4.800,65.86,66.89,70.59,60.60,71.07,68.33,67.09,63.74,14.2744,13.9604
4.832,66.00,67.38,65.75,66.08,70.68,67.47,64.69,60.50,14.3749,14.0546
4.864,73.90,63.97,69.89,65.44,63.74,65.59,62.21,65.66,14.4691,14.1488
4.896,68.99,61.82,73.20,69.98,67.09,66.11,64.81,71.17,14.5633,14.2430
4.928,70.00,63.89,62.06,63.12,60.99,66.42,68.99,69.58,14.6575,14.3435
4.960,60.68,72.58,68.10,68.85,68.46,67.19,60.24,69.70,14.7580,14.4377
4.992,66.80,61.42,68.81,68.10,64.83,61.16,64.54,65.70,14.8522,14.5319
5.024,66.28,66.07,69.73,70.15,62.27,66.78,67.52,67.53,14.9464,14.6261
5.056,74.29,64.14,71.77,66.28,67.50,68.26,72.52,69.38,15.0469,14.7266
5.088,66.06,61.96,65.69,64.12,67.19,68.78,59.75,66.52,15.1411,14.8208
5.120,67.15,68.42,66.94,63.46,66.33,58.66,64.84,74.91,15.2353,14.9150
5.152,65.03,63.48,71.97,74.29,69.29,61.73,71.49,64.98,15.3295,15.0155
5.184,72.95,71.23,71.26,66.83,65.85,69.81,60.05,67.52,15.4300,15.1097
5.216,59.61,76.48,67.83,68.01,73.11,67.90,72.08,69.51,15.5242,15.2039
5.248,61.27,68.65,63.54,70.80,66.30,67.88,67.29,69.68,15.6184,15.2981
5.280,66.62,69.01,68.00,62.14,74.50,73.14,66.22,66.85,15.7188,15.3986
5.312,67.34,68.23,62.64,64.18,71.39,71.62,70.09,67.06,15.8130,15.4928
5.344,66.79,75.09,64.28,63.95,66.21,64.79,74.91,78.57,15.9072,15.5870
5.376,65.11,69.30,67.30,67.83,60.47,64.42,67.72,69.35,16.0014,15.6812
5.408,65.25,66.37,69.54,68.70,68.20,65.35,72.60,64.39,16.1019,15.7816
5.440,67.12,67.28,73.66,69.60,66.45,71.23,65.67,63.92,16.1961,15.8758
5.472,70.62,65.80,62.21,66.31,60.94,72.00,64.48,67.59,16.2903,15.9700
5.504,67.89,61.62,62.06,65.44,64.03,72.06,63.19,61.50,16.3845,16.0705
5.536,63.57,72.28,71.76,62.31,69.95,61.69,64.45,66.63,16.4850,16.1647
5.568,66.70,69.10,66.03,74.22,69.40,67.11,62.98,61.40,16.5792,16.2589
5.600,65.41,70.10,63.78,64.87,69.28,64.97,66.78,68.15,16.6734,16.3531
5.632,66.53,67.15,63.93,73.34,66.95,62.98,69.14,67.58,16.7739,16.4536
5.664,70.41,63.67,62.89,70.93,69.73,68.82,69.12,67.15,16.8681,16.5478
5.696,72.71,67.63,64.70,61.32,74.35,68.93,66.49,67.51,16.9623,16.6420
5.728,66.84,71.12,67.55,65.37,70.10,71.64,66.22,63.99,17.0565,16.7362
5.760,69.89,66.86,63.64,60.58,66.79,70.42,61.03,69.81,17.1570,16.8367
5.792,64.71,60.75,68.43,63.45,66.90,65.28,70.26,66.57,17.2512,16.9309
5.824,73.27,70.78,62.17,61.46,64.25,72.58,67.09,65.52,17.3454,17.0251
5.856,66.94,70.46,65.01,63.99,70.47,65.75,63.23,66.41,17.4396,17.1256
5.888,64.59,64.30,65.60,74.19,69.18,67.36,63.10,64.89,17.5400,17.2198
5.920,63.94,66.73,66.61,71.80,67.24,66.24,65.68,67.05,17.6342,17.3140
5.952,70.17,70.48,68.93,74.21,70.59,70.83,71.39,65.66,17.7284,17.4082
5.984,67.35,62.61,69.51,65.81,66.29,69.98,63.13,68.14,17.8289,17.5086
6.016,68.72,69.14,74.47,73.28,62.81,64.83,71.76,64.78,17.9231,17.6028
6.048,63.50,63.27,58.91,68.24,71.43,73.02,65.46,67.42,18.0173,17.6970
6.080,69.39,66.27,65.73,68.47,72.80,66.97,64.38,66.21,18.1115,17.7975
