tiempo,dist_front_raw,dist_filtered,dist_kalman,accion
2.944,0.20469,1.11343,0.19841,GIRAR_IZQ
2.976,0.20578,1.15135,0.20284,GIRAR_IZQ
3.008,0.24115,1.19627,0.22640,GIRAR_IZQ
3.040,0.28666,1.24762,0.26352,GIRAR_IZQ
3.072,0.33343,1.30641,0.30660,GIRAR_IZQ
3.104,0.38988,1.36935,0.35795,GIRAR_IZQ
3.136,0.43288,1.42126,0.40411,GIRAR_IZQ
3.168,0.45881,1.46063,0.43782,GIRAR_IZQ
3.200,0.54502,1.48633,0.50392,CORRIGIENDO_IZQ
3.232,0.56585,1.50000,0.54158,CORRIGIENDO_IZQ
3.264,0.54854,1.50000,0.54524,CORRIGIENDO_IZQ
3.296,0.56981,1.50000,0.55981,CORRIGIENDO_IZQ
3.328,0.57429,1.50000,0.56815,CORRIGIENDO_IZQ
3.360,0.56505,1.50000,0.56562,CORRIGIENDO_IZQ
3.392,0.58435,1.50000,0.57653,CORRIGIENDO_IZQ
3.424,0.59689,1.50000,0.58850,CORRIGIENDO_IZQ
3.456,0.59664,1.50000,0.59292,CORRIGIENDO_IZQ
3.488,0.63340,1.50000,0.61732,CORRIGIENDO_IZQ
3.520,0.63536,1.50000,0.62783,CORRIGIENDO_IZQ
3.552,0.64003,1.50000,0.63473,CORRIGIENDO_IZQ
3.584,0.67471,1.50000,0.65883,CORRIGIENDO_IZQ
3.616,0.67804,1.50000,0.67006,CORRIGIENDO_IZQ
3.648,0.71953,1.50000,0.70002,CORRIGIENDO_IZQ
3.680,0.73350,1.50000,0.72010,CORRIGIENDO_IZQ
3.712,0.78258,1.50000,0.75810,CORRIGIENDO_IZQ
3.744,0.81189,1.50000,0.79068,CORRIGIENDO_IZQ
3.776,0.81745,1.50000,0.80661,CORRIGIENDO_IZQ
3.808,0.88012,1.50000,0.85143,CORRIGIENDO_IZQ
3.840,0.89301,1.50000,0.87651,CORRIGIENDO_IZQ
3.872,0.94432,1.50000,0.91778,CORRIGIENDO_IZQ
3.904,0.98804,1.50000,0.96056,CORRIGIENDO_IZQ
3.936,1.05211,1.50000,1.01652,CORRIGIENDO_IZQ
3.968,1.08331,1.50000,1.05716,CORRIGIENDO_IZQ
4.000,1.16370,1.50000,1.12239,CORRIGIENDO_IZQ
4.032,1.16279,1.50000,1.14674,AVANZAR
4.064,1.30106,1.50000,1.24135,AVANZAR
4.096,1.24820,1.50000,1.24482,AVANZAR
4.128,1.27986,1.50000,1.26574,AVANZAR
4.160,1.22567,1.50000,1.24024,AVANZAR
4.192,1.27571,1.50000,1.26137,AVANZAR
4.224,1.31482,1.50000,1.29367,AVANZAR
4.256,1.34638,1.50000,1.32551,AVANZAR
4.288,1.36406,1.50000,1.34858,AVANZAR
4.320,1.37182,1.50000,1.36218,AVANZAR
4.352,1.35085,1.50000,1.35444,AVANZAR
4.384,1.41844,1.50000,1.39325,AVANZAR
4.416,1.44973,1.50000,1.42740,AVANZAR
4.448,1.49312,1.50000,1.46726,AVANZAR
4.480,1.50000,1.50000,1.48676,AVANZAR
4.512,1.42153,1.50000,1.44571,AVANZAR
4.544,1.50000,1.50000,1.47847,AVANZAR
4.576,1.50000,1.50000,1.49104,AVANZAR
4.608,1.50000,1.50000,1.49584,AVANZAR
4.640,1.50000,1.50000,1.49765,AVANZAR
4.672,1.50000,1.50000,1.49834,AVANZAR
4.704,1.50000,1.50000,1.49863,AVANZAR
4.736,1.50000,1.50000,1.49874,AVANZAR
4.768,1.50000,1.50000,1.49876,AVANZAR
4.800,1.50000,1.50000,1.49876,AVANZAR
4.832,1.50000,1.50000,1.49879,AVANZAR
4.864,1.50000,1.50000,1.49878,AVANZAR
4.896,1.50000,1.50000,1.49877,AVANZAR
4.928,1.50000,1.50000,1.49879,AVANZAR
4.960,1.50000,1.50000,1.49880,AVANZAR
4.992,1.50000,1.50000,1.49878,AVANZAR
5.024,1.50000,1.50000,1.49877,AVANZAR
5.056,1.50000,1.50000,1.49879,AVANZAR
5.088,1.50000,1.50000,1.49880,AVANZAR
5.120,1.50000,1.50000,1.49878,AVANZAR
5.152,1.50000,1.50000,1.49877,AVANZAR
5.184,1.50000,1.50000,1.49879,AVANZAR
5.216,1.50000,1.50000,1.49878,AVANZAR
5.248,1.50000,1.50000,1.49877,AVANZAR
5.280,1.50000,1.50000,1.49879,AVANZAR
5.312,1.50000,1.50000,1.49880,AVANZAR
5.344,1.50000,1.50000,1.49878,AVANZAR
5.376,1.50000,1.50000,1.49877,AVANZAR
5.408,1.50000,1.50000,1.49879,AVANZAR
5.440,1.50000,1.50000,1.49880,AVANZAR
5.472,1.50000,1.50000,1.49876,AVANZAR
5.504,1.50000,1.50000,1.49879,AVANZAR
5.536,1.50000,1.50000,1.49880,AVANZAR
5.568,1.50000,1.50000,1.49878,AVANZAR
5.600,1.50000,1.50000,1.49877,AVANZAR
5.632,1.50000,1.50000,1.49879,AVANZAR
5.664,1.50000,1.50000,1.49880,AVANZAR
5.696,1.50000,1.50000,1.49878,AVANZAR
5.728,1.50000,1.50000,1.49877,AVANZAR
5.760,1.50000,1.50000,1.49879,AVANZAR
5.792,1.50000,1.50000,1.49880,AVANZAR
5.824,1.50000,1.50000,1.49876,AVANZAR
5.856,1.50000,1.50000,1.49879,AVANZAR
5.888,1.50000,1.50000,1.49880,AVANZAR
5.920,1.50000,1.50000,1.49878,AVANZAR
5.952,1.50000,1.50000,1.49877,AVANZAR
5.984,1.50000,1.50000,1.49879,AVANZAR
6.016,1.50000,1.50000,1.49880,AVANZAR
6.048,1.50000,1.50000,1.49878,AVANZAR
6.080,1.50000,1.50000,1.49877,AVANZAR
6.112,1.50000,1.50000,1.49879,AVANZAR
6.144,1.50000,1.50000,1.49878,AVANZAR
6.176,1.50000,1.50000,1.49877,AVANZAR
6.208,1.50000,1.50000,1.49879,AVANZAR
6.240,1.50000,1.50000,1.49880,AVANZAR
6.272,1.50000,1.50000,1.49878,AVANZAR
6.304,1.50000,1.50000,1.49877,AVANZAR
6.336,1.50000,1.50000,1.49879,AVANZAR
6.368,1.50000,1.50000,1.49880,AVANZAR
6.400,1.50000,1.50000,1.49878,AVANZAR
6.432,1.50000,1.50000,1.49877,AVANZAR
6.464,1.50000,1.50000,1.49879,AVANZAR
6.496,1.50000,1.50000,1.49878,AVANZAR
6.528,1.50000,1.50000,1.49877,AVANZAR
6.560,1.50000,1.50000,1.49879,AVANZAR
6.592,1.50000,1.50000,1.49880,AVANZAR
6.624,1.50000,1.50000,1.49878,AVANZAR
6.656,1.50000,1.50000,1.49877,AVANZAR
6.688,1.50000,1.50000,1.49879,AVANZAR
6.720,1.50000,1.50000,1.49880,AVANZAR
6.752,1.50000,1.50000,1.49876,AVANZAR
6.784,1.50000,1.50000,1.49879,AVANZAR
6.816,1.50000,1.50000,1.49880,AVANZAR
6.848,1.50000,1.50000,1.49878,AVANZAR
6.880,1.50000,1.50000,1.49877,AVANZAR
6.912,1.50000,1.50000,1.49879,AVANZAR
6.944,1.50000,1.50000,1.49880,AVANZAR
6.976,1.50000,1.50000,1.49878,AVANZAR
7.008,1.50000,1.50000,1.49877,AVANZAR
7.040,1.50000,1.50000,1.49879,AVANZAR
7.072,1.50000,1.50000,1.49880,AVANZAR
7.104,1.50000,1.50000,1.49876,AVANZAR
7.136,1.50000,1.50000,1.49879,AVANZAR
7.168,1.50000,1.50000,1.49880,AVANZAR
7.200,1.50000,1.50000,1.49878,AVANZAR
7.232,1.50000,1.50000,1.49877,AVANZAR
7.264,1.50000,1.50000,1.49879,AVANZAR
7.296,1.50000,1.50000,1.49880,AVANZAR
7.328,1.50000,1.50000,1.49878,AVANZAR
7.360,1.50000,1.50000,1.49877,AVANZAR
7.392,1.50000,1.50000,1.49879,AVANZAR
7.424,1.50000,1.50000,1.49878,AVANZAR
7.456,1.50000,1.50000,1.49877,AVANZAR
7.488,1.50000,1.50000,1.49879,AVANZAR
7.520,1.50000,1.50000,1.49880,AVANZAR
7.552,1.50000,1.50000,1.49878,AVANZAR
7.584,1.50000,1.50000,1.49877,AVANZAR
7.616,1.50000,1.50000,1.49879,AVANZAR
7.648,1.50000,1.50000,1.49880,AVANZAR
7.680,1.50000,1.50000,1.49878,AVANZAR
7.712,1.50000,1.50000,1.49877,AVANZAR
7.744,1.50000,1.50000,1.49879,AVANZAR
7.776,1.50000,1.50000,1.49878,AVANZAR
7.808,1.50000,1.50000,1.49877,AVANZAR
7.840,1.50000,1.50000,1.49879,AVANZAR
7.872,1.50000,1.50000,1.49880,AVANZAR
7.904,1.50000,1.50000,1.49878,AVANZAR
7.936,1.50000,1.50000,1.49877,AVANZAR
7.968,1.50000,1.50000,1.49879,AVANZAR
8.000,1.50000,1.50000,1.49880,AVANZAR
8.032,1.50000,1.50000,1.49876,AVANZAR
8.064,1.50000,1.50000,1.49879,AVANZAR
8.096,1.50000,1.50000,1.49880,AVANZAR
8.128,1.50000,1.50000,1.49878,AVANZAR
8.160,1.50000,1.50000,1.49877,AVANZAR
8.192,1.50000,1.50000,1.49879,AVANZAR
8.224,1.50000,1.50000,1.49880,AVANZAR
8.256,1.50000,1.50000,1.49878,AVANZAR
8.288,1.50000,1.50000,1.49877,AVANZAR
8.320,1.50000,1.50000,1.49879,AVANZAR
8.352,1.50000,1.50000,1.49880,AVANZAR
8.384,1.50000,1.50000,1.49876,AVANZAR
8.416,1.50000,1.50000,1.49879,AVANZAR
8.448,1.50000,1.50000,1.49880,AVANZAR
8.480,1.50000,1.50000,1.49878,AVANZAR
8.512,1.50000,1.50000,1.49877,AVANZAR
8.544,1.50000,1.50000,1.49879,AVANZAR
8.576,1.50000,1.50000,1.49880,AVANZAR
8.608,1.50000,1.50000,1.49878,AVANZAR
8.640,1.50000,1.50000,1.49877,AVANZAR
8.672,1.50000,1.50000,1.49879,AVANZAR
8.704,1.50000,1.50000,1.49880,AVANZAR
